Sector,Transaction,Country,Position,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
S11,F3,AU,LIAB,69166.54501,80132.68806,70100.63377,70449.93733,79114.37659,88220.62198,85355.47022,101336.2112,132280.5,143573.5951,146988.7243,178658.1315,212128.8289,198933.3632,255238.905,281533.3933,297984.1492,330140.2449,304174.9935
S11,F4,AU,LIAB,158349.75,174113.3267,156807.2612,160378.3081,176976.4682,167408.274,155221.3788,185418.6098,255430.5001,292143.6961,333592.1127,417089.4823,577492.9618,511076.4815,604292.6531,677882.2628,711874.6639,762658.4062,705005.9684
S11,F5,AU,LIAB,345992.1551,393705.2155,360064.5713,396441.2789,480386.7417,401050.0179,390054.4885,506746.7353,761841.7502,929065.7814,957322.9557,1263024.791,1599461.314,907709.3311,1431243.422,1670677.276,1412253.751,1571316.277,1437144.156
S11,F6,AU,LIAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S11,F7,AU,LIAB,22253.15,23917.3047,20818.51952,21994.19565,24655.4518,25383.17199,26685.9984,36203.39421,41316.00001,45036.32702,41024.83551,49867.72602,58289.62882,64125.56799,88547.34937,124935.7916,121034.13,137418.8349,120743.073
S12,BF90,AU,ASS,-19748.46,-36525.90113,-49684.83016,-78654.09706,-84499.72719,-67729.26999,-90243.95462,-84040.49982,-147227.25,-180097.0101,-183348.6952,-196205.209,-225932.9217,-212440.192,-270725.6773,-293626.347,-319133.0036,-373461.4623,-446108.9625
S12,F_AS,AU,ASS,815712.4201,961826.4277,891445.2723,911240.6379,1098030.294,1032506.42,1023187.766,1257699.494,1787322.75,2126349.832,2313206.426,2972671.963,3869107.896,3067583.304,4167089.779,4900205.29,5013519.555,5625255.148,5328680.579
S12,F1,AU,ASS,3109.63,2954.218834,763.0063117,754.4831121,815.2885999,792.2199998,817.4706001,1014.0642,1239,1317.289001,1508.4872,1830.276901,2331.832001,2407.48,7630.825197,8373.295698,8661.036799,8810.953996,7796.767499
S12,F2,AU,ASS,28575.22,43181.45588,35461.19154,36230.53688,45233.15299,39682.46599,42552.89341,53441.35321,79798.50002,97907.83604,110413.0456,141836.5685,172565.2657,178075.2336,221455.3727,265338.6528,296996.986,343212.0463,337050.846
S12,F3,AU,ASS,219316.08,240371.7797,213840.8408,217296.6614,242427.0786,225761.648,215651.3994,263427.9473,376813.5001,424961.6382,430237.2779,529776.1415,713615.5283,703353.4223,858302.8051,973294.2489,1019148.506,1193124.701,1104974.379
S12,F4,AU,ASS,389570.9301,452414.4406,410397.5326,427413.7622,496226.3543,462962.2879,464934.9997,556897.9003,822518.2502,967906.7214,1038487.051,1283573.269,1641627.361,1433225.843,1890806.013,2238988.171,2402047.355,2588968.977,2341156.963
S12,F5,AU,ASS,155862.94,199214.2305,210465.0763,210668.383,290589.2556,280767.1999,281727.6349,314020.7483,476988.7501,598814.9632,706358.6696,977101.1968,1276561.208,692903.9199,1140157.218,1348592.497,1215523.907,1414347.487,1468511.185
S12,F6,AU,ASS,3542.475001,4148.968969,3935.12836,4319.400469,5695.251799,4526.179999,2889.996001,2200.2532,2460.750001,1752.750001,1778.4888,2027.310601,2811.422401,2387.3888,3189.376399,3996.091599,4437.1564,4776.935498,4237.47
S12,F7,AU,ASS,15735.145,19541.33321,16582.49645,14557.41093,17043.9122,18014.418,14613.372,66697.22761,27504.00001,33688.63401,24423.4056,36527.19931,59595.27842,55230.01599,45548.16958,61622.33418,66704.60799,72014.04547,64952.96849
S12,F_LI,AU,LIAB,835460.8801,998352.3289,941130.1025,989894.735,1182530.021,1100235.69,1113431.721,1341739.994,1934550,2306446.842,2496555.121,3168877.172,4095040.818,3280023.496,4437815.457,5193831.637,5332652.559,5998716.61,5774789.542
S12,F2,AU,LIAB,237651.275,277980.1244,240982.0653,259572.8856,291116.2184,254868.8079,266760.9276,321600.4677,492054.0001,541692.4512,580390.4503,727528.3419,892976.1667,888109.3263,1155774.937,1435209.713,1568201.163,1748758.985,1613042.599
S12,F3,AU,LIAB,197375.83,230358.977,216261.0524,218750.3766,265002.1388,246185.4119,244122.966,302909.0733,453945.7501,550952.4242,576513.5795,747746.0569,994762.1764,934818.5951,1114007.201,1249994.119,1278095.023,1379593.747,1287874.399
S12,F4,AU,LIAB,41181.36501,45223.68211,41723.19544,48072.66807,62893.59859,60494.58399,59895.42241,64682.12181,81071.25002,90990.31604,90515.83531,106570.7014,138386.5153,145070.9344,152125.8996,147727.3354,150044.744,148168.2404,135014.8365
S12,F5,AU,LIAB,104622.585,140172.0683,157627.7051,172438.9877,204361.535,209076.83,225067.374,250558.7875,383310.0001,477093.8762,522588.0969,669825.9546,822136.9619,473411.7168,768179.6024,870953.8552,822239.9159,956773.0456,971742.2939
S12,F6,AU,LIAB,234855.29,281074.5273,262828.5873,268011.5551,334826.6712,307112.6699,300967.5535,333741.4943,490383.7501,609043.2332,683254.4566,870405.47,1170174.128,775615.9263,1184038.05,1434251.342,1455115.118,1701349.643,1704172.14
S12,F7,AU,LIAB,19774.535,23542.94966,21707.49693,23048.26197,24329.8594,22497.386,16617.477,68248.04941,33785.25001,36674.54101,43292.70221,46800.64721,76604.86883,62996.99679,63689.76588,55695.27258,58956.59559,64072.94947,62943.27299
S13,BF90,AU,ASS,-76439.98001,-87841.21593,-41310.68903,-9969.12226,-12869.3992,-5744.979999,-11033.5554,2887.620001,-1023.75,11734.077,16249.2539,32055.56301,20961.80321,-5300.612799,-72938.59867,-152287.4735,-249014.964,-414601.7918,-327068.856
S13,F_AS,AU,ASS,153852.93,158381.6534,153383.1969,171248.0216,163926.6202,136799.22,123470.2284,156864.5776,201381.0001,223660.2481,221698.4605,266713.9955,296452.1057,244990.0144,351717.5411,425701.6461,428031.7292,491571.7388,450998.8965
S13,F2,AU,ASS,7177.330001,6108.35919,3965.152561,5183.771683,9756.003599,10011.888,8070.033001,9983.804602,11343.75,13976.81801,23431.4432,43477.97851,21316.20641,23524.024,40939.89739,46128.84069,62323.30959,72570.71297,75620.22299
S13,F3,AU,ASS,615.3700001,784.5525887,972.5230149,945.4060152,1138.9196,1366.718,1382.7048,1999.8184,3249.000001,3301.402001,3149.0404,4520.696901,37787.13921,32483.3136,56047.28098,63456.75568,49540.96799,51658.74398,41731.101
S13,F4,AU,ASS,25200.37,26781.51903,22755.08045,21891.67435,20714.3454,18844.864,18295.3086,18105.3774,26198.25001,30331.14401,31062.6569,32907.00181,37622.28001,45745.584,58634.83748,72916.47608,82371.25359,89954.34646,76911.85349
S13,F5,AU,ASS,112156.77,113302.1378,111278.172,127187.804,114858.9302,88131.98198,76736.03161,103496.8304,133978.5,149890.5061,135218.7089,149073.007,158669.4865,90396.54399,123929.1575,154384.1004,153022.4832,170515.0589,160193.2095
S13,F6,AU,ASS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S13,F7,AU,ASS,8703.090001,11405.08479,14412.26892,16039.36556,17458.4214,18443.768,18986.1504,23278.7468,26611.50001,26160.37801,28836.6111,36735.31121,41056.99362,52840.54879,72166.36777,88815.47327,80773.71479,106872.8765,96542.50949
S13,F_LI,AU,LIAB,230292.91,246222.8693,194693.886,181217.1439,176796.0194,142544.2,134503.7838,153976.9576,202404.7501,211926.1711,205449.2066,234658.4325,275490.3025,250290.6272,424656.1398,577989.1195,677046.6931,906173.5306,778067.7524
S13,F2,AU,LIAB,1163.69,1295.109146,1052.805116,1019.074016,1185.3394,1043.736,1029.3696,1215.6314,1656.75,1808.059001,1797.565,1992.493401,2219.868801,2038.2176,2811.781499,3307.040199,3386.0104,3579.319998,3160.3725
S13,F3,AU,LIAB,88093.27001,99255.06222,76305.85277,67075.32898,58441.87439,46088.36799,39577.11661,43071.96641,47897.25001,50383.38302,46609.02621,48953.77451,57935.22562,54996.54239,120436.6289,196164.1933,266221.2592,321121.1909,300795.6555
S13,F4,AU,LIAB,50497.59001,47035.71982,36471.57116,33063.42673,31373.9006,22930.614,21618.2934,23019.4272,29263.50001,29230.41701,25474.7977,26304.39461,32978.01121,35090.32,55171.90658,73681.74998,105379.6716,133727.1409,125403.4035
S13,F5,AU,LIAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,..
S13,F6,AU,LIAB,75174.97001,83141.0689,69977.27347,66950.70727,72811.74459,64625.20799,63678.45781,76202.02702,109470,113770.613,116326.6676,135395.3865,152467.4305,130281.7328,206513.9156,256362.6912,263771.632,409125.6403,323384.562
S13,F7,AU,LIAB,15363.39,15495.90925,10886.38347,13108.60691,12983.1604,7856.273998,8600.546402,10332.0176,13947.75,16539.72801,15048.187,21304.96121,29146.57761,27155.6816,34905.55419,43725.29119,33569.6424,33872.43698,20619.99
S14_15,BF90,AU,ASS,340182.645,398943.7966,351623.8548,365284.0117,430597.9103,377440.7539,377622.9103,431323.7995,637075.5002,769258.6053,836971.9436,1071952.745,1396387.399,821328.9487,1276454.626,1474190.916,1360745.566,1754327.741,1719808.227
S14_15,F_AS,AU,ASS,558990.6351,658840.9795,591150.399,614105.0524,726349.5707,661227.8079,670633.7839,813646.9524,1221187.5,1465648.772,1570032.891,1961258.416,2505078.743,1760367.389,2586981.586,3063012.341,3042852.362,3561850.003,3355567.389
S14_15,F2,AU,ASS,140245.505,157859.9458,134518.8613,131886.5947,142870.9912,127892.562,138395.577,163187.8992,243247.5001,272599.3651,279603.5319,331087.8331,409735.061,389899.5264,541323.9948,669971.3836,721607.1587,800783.3666,736840.1834
S14_15,F3,AU,ASS,14758.45,17485.56648,12723.73399,10454.10327,12084.8392,8623.563998,8595.440402,7867.349002,9653.250002,9706.340004,10152.9406,10995.9048,15656.33441,10694.0608,6639.750698,7538.913398,7805.901599,6123.342497,4671.855
S14_15,F4,AU,ASS,1165.925,1474.321667,1491.419523,1521.244224,1829.3324,1858.116,1946.4072,2713.796601,4134.000001,5145.295002,5192.394901,6332.773902,7905.307203,331.8512,471.7693998,719.5403998,734.2787999,833.4404996,750.8654999
S14_15,F5,AU,ASS,77866.65501,103453.4142,96533.67877,120919.8849,150542.0266,138323.274,143012.9328,212540.156,338729.2501,421555.8502,450719.2471,582208.4708,711348.0531,430743.5504,619729.199,662692.643,563967.7579,621340.8177,570976.0334
S14_15,F6,AU,ASS,296416.13,347896.9023,318493.455,321492.0684,390174.764,357093.9959,352109.7601,396747.0979,582036.0001,706461.8573,786044.3592,991813.0464,1305469.754,888247.8863,1366847.796,1659825.225,1683917.611,2072982.947,1995146.262
S14_15,F7,AU,ASS,28537.97,30670.82897,27389.25052,27831.15695,28847.6174,27436.29599,26573.6664,30590.65361,43387.50001,50180.06402,38320.41731,38820.38671,54964.23362,40450.5136,51969.07668,62264.63578,64819.65439,59786.08947,47182.1895
S14_15,F_LI,AU,LIAB,218807.99,259897.1829,239526.5443,248821.0408,295751.6604,283787.0539,293010.8737,382323.1529,584112.0001,696390.1663,733060.9474,889305.6705,1108691.344,939038.4399,1310526.96,1588821.425,1682106.796,1807522.263,1635759.162
S14_15,F2,AU,LIAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S14_15,F3,AU,LIAB,4981.815001,5307.0801,4524.516469,4734.396876,5161.750999,5032.535999,3655.896001,5483.080801,8952.750002,11121.004,12240.3171,16080.0073,21918.33921,20485.4032,28397.64779,30808.11819,31161.6548,33056.68499,26278.5195
S14_15,F4,AU,LIAB,201024.84,238753.2915,219549.3551,231884.7673,278544.952,264691.2279,275452.8714,353495.0799,548137.5001,654078.0023,695550.5349,842823.1259,1050872.49,884107.7135,1234911.115,1500543.575,1591874.799,1707121.296,1546352.091
S14_15,F5,AU,LIAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S14_15,F6,AU,LIAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S14_15,F7,AU,LIAB,12801.335,15836.81129,15452.67274,12201.8766,12044.9574,14063.29,13902.1062,23344.9922,27021.75001,31191.16001,25270.0954,30402.53731,35900.51521,34445.3232,47218.19738,57469.73238,59070.34279,67344.28147,63128.55149
S2,BF90,AU,ASS,206957.275,232217.2117,189596.2989,198272.514,222862.1136,201191.194,179800.6416,226917.1064,330336.0001,381580.6861,389529.4008,467450.9795,565791.485,486739.8032,677915.5865,755097.6879,815962.4923,865713.6881,746453.3894
S2,F_AS,AU,ASS,352589.8751,406900.036,377695.304,401119.8108,477657.7805,456492.1219,465996.5371,552423.2217,801755.2502,962774.6694,981400.0549,1260026.555,1583190.505,1294612.497,1776750.827,2071688.93,2128297.453,2334874.715,2220280.029
S2,F2,AU,ASS,10778.66,14248.59011,17891.81267,23967.27028,26233.0712,28681.13399,31112.38981,36175.65041,56400.75001,52785.04002,56606.42241,62769.08122,85032.08323,101278.3536,102662.7616,110260.4196,129216.8192,170247.6504,154337.877
S2,F3,AU,ASS,141127.585,172072.6935,158390.7114,151002.2132,169622.5258,173680.662,175255.2804,212495.9924,306038.2501,385915.0421,398961.848,537183.5008,641878.8546,583634.8111,759600.7539,912279.6621,994469.4263,1053172.249,1005029.482
S2,F4,AU,ASS,46479.80501,41488.09669,38229.94498,41752.56747,54261.47719,56560.07599,52143.49321,77176.45722,100473,113194.932,124588.1296,148531.7578,196828.6609,191384.6144,212355.4253,210050.9165,222633.7384,240189.0199,261940.3605
S2,F5,AU,ASS,145973.81,170173.8372,155574.9636,174484.5025,218765.4028,189770.484,200560.6164,219271.1416,331580.2501,405051.1772,393146.5418,503156.0182,647206.3634,404467.7248,678356.8613,813212.7708,757357.2943,842703.0306,772627.3019
S2,F6,AU,ASS,1018.415,1238.55764,1132.434517,1184.827019,1210.8376,1145.118,1115.1504,1284.7078,1736.25,1766.772001,1368.3505,1293.7755,1759.673601,1165.2896,1625.182799,2019.388099,2176.4308,2398.352499,2282.7375
S2,F7,AU,ASS,7211.600001,7678.260868,6475.436799,8728.43034,7564.465999,6654.647999,5809.606801,6019.272201,5526.750001,4061.706002,6728.762701,7092.421902,10484.8688,12681.704,22149.84239,23865.77289,22443.7444,26164.41299,24062.2695
S2,F_LI,AU,LIAB,145632.6,174682.8242,188099.0051,202847.2969,254795.667,255300.9279,286195.8955,325506.1153,471419.2501,581193.9832,591870.6542,792575.5758,1017399.02,807872.6943,1098835.241,1316591.242,1312334.961,1469161.027,1473826.639
S2,F2,AU,LIAB,2988.195,8031.906908,9616.881947,9627.793854,15672.2398,16214.472,10954.4124,15837.1802,27165.00001,32977.40701,37051.85001,45281.35121,30215.07681,38706.0432,51790.59358,64790.14128,61619.49879,53048.85198,64753.50599
S2,F3,AU,LIAB,27177.6,27821.74814,29877.99566,31769.32551,37316.9426,41480.19599,47398.99801,57602.92321,88900.50002,108139.222,96488.15331,138915.8802,185048.7217,184706.7152,217133.2116,261585.4569,259049.092,299453.8189,293247.9945
S2,F4,AU,LIAB,21859.045,26831.69853,27025.04391,28047.24975,32204.2266,30295.48999,33167.55481,42062.43181,58056.75001,69662.07503,74345.82101,101227.0525,115416.4272,122911.7264,158285.8088,171098.1701,202551.264,222192.5319,211486.986
S2,F5,AU,LIAB,83970.44001,100847.2659,107587.8061,118323.0879,152836.8646,151782.704,177271.1292,189378.6126,271218.0001,339118.9541,342483.0893,447363.829,600325.5202,395895.0176,587097.2863,708440.3712,674254.8087,767024.3442,790678.2149
S2,F6,AU,LIAB,1805.135,2196.747248,2578.165039,2563.032541,2832.9154,2265.306,2345.1858,2991.800801,5173.500001,7296.114003,9845.520301,11574.3451,13227.5264,7845.959999,9810.292197,11810.4223,12090.718,13350.65549,12363.129
S2,F7,AU,LIAB,7832.185001,8953.457512,11413.11237,12516.8073,13932.478,13262.76,15058.6152,17633.1666,20905.50001,24000.21101,31656.2202,48213.11771,73165.74723,57807.23199,74718.04827,98866.68027,102769.5796,114090.8249,101296.809
S1,BF90,AT,ASS,-31720.12407,-30493.57351,-27541.17564,-34107.6569,-30513.81082,-34659.92467,-36442.50409,-46776.56089,-44792.77496,-51572.68836,-37188.57968,-44491.42236,-53769.48002,-42865.01157,-28802.51337,-25478.92885,-2732.332021,205.9055639,..
S1,F_AS,AT,ASS,915547.535,895975.5927,823679.6854,935168.5779,897522.7401,908893.7903,898990.3082,1095726.781,1389319.274,1624319.684,1666072.214,2049200.751,2473472.432,2387193.174,2546074.13,2435115.12,2435760.138,2559482.632,..
S1,F1,AT,ASS,4809.175746,4089.462175,2453.26118,2792.625182,3955.702914,3442.859306,3334.072468,3683.6007,4435.138172,4490.176274,5135.55262,6091.36053,7763.314593,8091.822067,12683.56917,15397.33993,16768.31672,17550.90948,..
S1,F2,AT,ASS,298488.7195,281945.6328,248347.1427,269046.4062,244476.3619,232049.4858,238679.0859,275568.3988,352479.922,407370.0033,390575.6542,498599.0896,605549.546,613801.748,616414.6071,562321.6114,578147.886,594147.1281,..
S1,F3,AT,ASS,138331.3493,142954.0785,132955.1491,148663.1911,144521.967,147035.228,144271.9209,196157.1957,248160.7446,301344.1528,305508.0416,363056.9351,421501.2736,399519.0296,428535.3073,411787.9249,394371.6884,411828.2009,..
S1,F4,AT,ASS,301090.9821,292611.6491,263618.2654,302468.1683,282252.6069,288636.2801,287071.736,343748.1506,416434.8067,466549.4344,436803.0127,526126.3146,640249.827,660567.3965,685506.718,660578.6508,669350.6027,690205.016,..
S1,F5,AT,ASS,108743.1032,113124.7152,117629.2051,144075.1554,157506.5224,172682.5343,160790.5499,192958.7656,260258.2764,316434.8724,398560.9255,505606.4895,620081.4936,527537.5225,611297.0471,600459.5521,591486.0842,650412.255,..
S1,F6,AT,ASS,47837.53018,49541.45157,46883.69376,55467.06998,53453.6509,53515.35335,53806.95187,67339.21881,85457.19445,99400.17379,103633.3065,115259.5194,135607.9833,130122.1898,143179.5558,135735.3517,133621.4412,141657.9351,..
S1,F7,AT,ASS,16246.67491,11708.60335,11792.96814,12655.96183,11355.92808,11532.0494,11035.99112,16271.45093,22093.1917,28730.85704,25855.70905,34461.0423,42718.99365,47553.46514,48457.32579,48834.70272,52014.11898,53681.18755,..
S1,F_LI,AT,LIAB,947267.6591,926469.1662,851220.861,969276.2348,928036.5509,943553.7056,935432.8123,1142503.342,1434112.049,1675892.372,1703260.794,2093692.174,2527241.915,2430058.184,2574876.646,2460594.049,2438492.471,2559276.74,..
S1,F2,AT,LIAB,285114.5073,276789.515,250344.9295,283934.027,268032.7651,262880.9427,257652.8756,301388.8505,376488.4659,439339.7843,434091.9323,523617.232,637711.3578,634274.3384,633655.8614,592823.2492,603990.1177,615155.9343,..
S1,F3,AT,LIAB,193701.4979,187780.2594,173735.3279,196542.1942,194969.3725,206219.8201,211154.95,268701.4482,334902.2079,390088.6456,371486.1852,447927.4614,541360.7874,571513.7504,593550.9634,579672.2352,582717.6023,617055.8176,..
S1,F4,AT,LIAB,288784.6526,278600.5257,246930.3426,272274.8464,250350.0672,253877.7224,253871.9224,305927.3095,373734.0144,414312.6134,388918.447,472734.8674,559435.3847,560179.2892,595032.0816,577695.6613,554187.9235,572737.9764,..
S1,F5,AT,LIAB,117422.3224,123436.2474,123454.5731,148395.2243,148026.5342,154859.8676,147518.8152,182412.3777,239468.5639,301252.6061,388101.0565,509820.6154,618509.6715,493784.3511,567022.91,532643.3132,519753.5719,565034.8574,..
S1,F6,AT,LIAB,47815.81488,49498.716,46825.13651,55379.06357,53354.4567,53393.77422,53665.77643,67128.74472,85164.97414,98984.06586,94844.63585,109389.7284,128778.8447,123535.6425,135659.3732,131363.3186,129518.8806,137693.5603,..
S1,F7,AT,LIAB,14428.86398,10363.89015,9930.551342,12750.87944,13303.35523,12321.58795,11568.47258,16944.61146,24353.82277,31914.67045,25818.5485,30202.26934,41445.86861,46770.81258,49955.45595,46396.2847,48324.37466,51598.58062,..
S11,BF90,AT,ASS,-149677.827,-146695.1993,-141018.1969,-163766.6753,-147223.8688,-149557.525,-150286.9168,-184381.1127,-224830.6843,-256693.3298,-235777.1897,-321163.853,-388280.1567,-326803.0116,-369743.2104,-344302.6094,-315198.9298,-324296.8696,..
S11,F_AS,AT,ASS,77823.2672,74210.47625,72459.2912,81474.31811,87401.53613,92321.53019,91311.34315,115642.3723,155920.3055,182244.4716,249840.0631,292471.0452,388219.6905,390900.4278,432249.2389,403599.09,435953.9727,471937.0303,..
S11,F2,AT,ASS,31717.55971,29249.34291,23982.483,29964.37399,24839.94052,23702.57068,23386.9259,28650.21135,38900.67788,46887.03711,43943.4829,51252.94822,70235.27114,66287.37486,76277.94139,70906.20131,71275.30448,77583.01573,..
S11,F3,AT,ASS,13114.96539,12118.8246,11015.75572,9103.222694,9224.538581,8932.800003,8441.091397,10515.3149,13769.22601,14320.37025,14120.06524,13026.68536,13044.61346,14490.83825,12697.10707,11954.88787,11940.45172,12742.88394,..
S11,F4,AT,ASS,3152.265395,4071.574036,4543.654764,5618.62322,9336.611757,11780.23236,13029.79136,15726.08498,19263.30127,22581.68383,21556.48115,33461.47212,47411.10208,52180.63673,59242.74763,61172.27827,73596.86085,79907.08606,..
